,criterion,max_depth,n_estimators,random_state,rsme
0,mae,9.0,27,48,0.16117462193454427
1,mae,3.0,93,17,0.09497667188997393
2,mae,3.0,79,15,0.11178495176130822
3,mse,,51,63,0.10832755576133762
4,mae,6.0,36,35,0.12512220445576355
5,mse,3.0,65,31,0.09669592647442432
6,mae,2.0,85,99,0.1002633390951504
7,mse,2.0,79,83,0.09708342069017845
8,mse,8.0,21,61,0.10154317327684037
9,mse,5.0,77,97,0.0978050969518058
10,mae,7.0,55,61,0.12352772425304803
11,mae,1.0,16,97,0.09638124143687077
12,mae,2.0,62,87,0.09691527854334939
13,mae,,94,23,0.19889540717738108
14,mse,5.0,57,62,0.10000041219121038
15,mse,2.0,38,12,0.09633181498983945
16,mse,4.0,85,77,0.09702525698465207
17,mse,1.0,36,14,0.11028560054984027
18,mse,5.0,29,36,0.10027115764071098
19,mse,4.0,79,80,0.09652733434777716
20,mse,3.0,94,91,0.09977756609903292
21,mse,,47,30,0.09515297183748661
22,mae,6.0,24,39,0.10500833228311067
23,mse,9.0,62,33,0.0986773111166332
24,mae,8.0,40,80,0.10841114794229874
25,mse,7.0,15,42,0.0987686505726802
26,mae,4.0,11,42,0.09499948329459153
27,mae,9.0,97,47,0.09564538143250967
28,mae,7.0,69,66,0.09602845014475289
29,mae,2.0,97,89,0.0962817898590653
30,mse,8.0,35,86,0.09674619655351817
31,mse,6.0,17,10,0.09793834616884058
32,mae,1.0,30,46,0.0958391637120688
33,mse,8.0,79,44,0.10620449329388545
34,mse,,78,65,0.09658205926091869
35,mse,3.0,37,49,0.09641738028097639
36,mse,2.0,68,32,0.09610140909900516
37,mae,3.0,76,20,0.13027269007684367
38,mse,6.0,86,99,0.0965752369560632
39,mae,4.0,89,51,0.09641577825120566
40,mae,3.0,56,27,0.10019557207768656
41,mae,8.0,54,72,0.10025379749909459
42,mse,6.0,33,38,0.10219755471639055
43,mae,3.0,68,23,0.0964770151981493
44,mse,4.0,71,99,0.09681224763257118
45,mae,4.0,77,91,0.09775145492949443
46,mae,4.0,84,51,0.09772777814456345
47,mae,7.0,13,86,0.10081605068040872
48,mae,2.0,42,90,0.09616503990506216
49,mse,2.0,30,89,0.09887463340292688
50,mse,4.0,81,49,0.09671050801331788
51,mae,6.0,60,51,0.097673738456174
52,mae,3.0,77,36,0.10063376753519128
53,mse,8.0,10,67,0.10626875740995649
54,mse,5.0,75,87,0.09654320772774344
55,mse,8.0,31,42,0.10259838110673412
56,mae,2.0,51,49,0.09817852692766153
57,mae,5.0,80,61,0.09718816303797537
58,mse,,25,68,0.10011662679202601
59,mae,,89,89,0.10165893036387694
60,mse,7.0,88,15,0.11053236256430994
61,mse,1.0,13,34,0.09699438524774417
62,mae,2.0,80,82,0.09603623220637832
63,mae,,82,99,0.09719887555595708
64,mse,4.0,74,86,0.1066552721493607
65,mse,5.0,51,76,0.09566334962570258
66,mae,8.0,39,97,0.10044955344325782
67,mse,2.0,54,55,0.09659740305529194
68,mae,5.0,87,31,0.09579655952675961
69,mae,4.0,77,97,0.09590871109786782
70,mse,6.0,33,51,0.09520785642146856
71,mae,9.0,12,37,0.1040670279032748
72,mse,1.0,68,76,0.09829742444571479
73,mse,7.0,82,87,0.09801170272438782
74,mse,9.0,69,56,0.09897835064799203
75,mae,6.0,36,44,0.09513466233999487
76,mse,7.0,89,69,0.0955966397885681
77,mae,9.0,35,50,0.11491791101079932
78,mae,1.0,83,51,0.09827822894734667
79,mae,4.0,81,84,0.10258464691501394
80,mae,,11,46,0.10462357586027182
81,mse,8.0,63,46,0.098651991215327
82,mse,8.0,12,73,0.0982232011663367
83,mse,9.0,48,88,0.10180949320295601
84,mae,5.0,41,61,0.09588973157416895
85,mse,1.0,51,15,0.09672173272986558
86,mse,2.0,32,61,0.09708327974954732
87,mse,9.0,58,56,0.13563022580899844
88,mae,3.0,66,37,0.09810279323364497
89,mse,5.0,18,69,0.09762658109896667
90,mse,9.0,62,42,0.09671483125195615
91,mae,7.0,19,61,0.09684954160788772
