,criterion,max_depth,max_features,min_impurity_decrease,n_estimators,random_state,rsme
0,mae,21.0,0.57,0.84,865,37,0.09775915980472309
1,mae,20.0,0.22,0.11,369,39,0.09638255994398025
2,mse,32.0,0.74,0.78,740,94,0.0968236458091622
3,mse,61.0,0.33,0.59,771,28,0.09566684616840809
4,mse,41.0,0.83,0.36,673,22,0.09609496704778282
5,mae,51.0,0.86,0.65,338,37,0.0966607258657943
6,mae,26.0,0.82,0.79,786,58,0.09629627419272542
7,mae,59.0,0.81,0.54,835,35,0.09686098563418656
8,mse,27.0,0.16,0.69,278,99,0.095510556129297
9,mae,23.0,0.48,0.67,282,96,0.09625558450797937
10,mae,21.0,0.98,0.8,648,44,0.09505219838697151
11,mae,65.0,0.95,0.8,275,82,0.09587164277405999
12,mse,68.0,0.84,0.73,473,54,0.0954118890570547
13,mae,92.0,0.37,0.93,645,64,0.09515083879312831
14,mae,78.0,0.71,0.95,763,89,0.09632512373216288
15,mae,90.0,0.21,0.94,652,91,0.0973266942529406
16,mse,49.0,0.28,0.63,277,15,0.09594166635624571
17,mae,85.0,0.73,0.63,708,97,0.0972853416273443
18,mae,98.0,0.22,0.15,728,93,0.09635838230490315
19,mae,98.0,0.4,0.21,527,24,0.09687726405940933
20,mae,94.0,0.89,0.56,493,41,0.09472011726436473
21,mse,55.0,0.96,0.56,503,77,0.09671456123360841
22,mse,36.0,0.75,0.86,390,47,0.09485782795990176
23,mse,19.0,0.79,0.34,681,51,0.09629672034542117
24,mae,95.0,0.58,0.52,296,39,0.0965665213901945
25,mse,62.0,0.85,0.75,304,31,0.09587612580508406
26,mse,57.0,0.34,0.99,240,72,0.09672201529179737
27,mae,17.0,0.76,0.75,763,30,0.09707214382768166
28,mse,21.0,0.59,0.37,709,31,0.09570305301302529
29,mse,28.0,0.79,0.81,125,27,0.0962589327019966
30,mae,65.0,0.9,0.5,111,42,0.09578070616844038
31,mse,57.0,0.59,0.3,141,97,0.09739554960838966
32,mse,26.0,0.15,0.27,37,70,0.09645260618156556
33,mae,31.0,0.31,0.56,423,29,0.09679129517148925
34,mse,36.0,0.52,0.26,34,53,0.09743339213390403
35,mae,57.0,0.42,0.17,607,83,0.09807554359952603
36,mse,43.0,0.56,0.13,394,17,0.09695786762869654
37,mse,29.0,0.95,0.83,163,51,0.09834095329910675
38,mse,88.0,0.52,0.15,782,54,0.09473637587378794
39,mse,31.0,0.64,0.85,788,14,0.09726998896691354
40,mse,12.0,0.71,0.67,523,11,0.09609085071783922
41,mse,32.0,0.21,0.95,746,45,0.09400604368482715
42,mse,70.0,0.33,0.2,55,59,0.0962179320530686
43,mae,16.0,0.5,0.43,776,56,0.09681911926404611
44,mse,17.0,0.51,0.55,820,42,0.0965327725754677
45,mae,34.0,0.13,0.74,135,28,0.09721365648417474
46,mse,,0.74,0.21,209,18,0.09627542844876646
47,mse,32.0,0.28,0.2,886,61,0.09629058021925119
48,mse,87.0,0.26,0.14,353,24,0.09568444851822228
49,mse,35.0,0.1,0.27,246,89,0.09591399492854386
50,mae,10.0,0.83,0.96,254,70,0.09677947181706525
51,mse,70.0,0.32,0.82,860,67,0.09443263504315835
52,mae,79.0,0.6,0.78,14,20,0.09536799406756925
53,mae,45.0,0.89,0.92,878,62,0.0963218193948629
54,mae,12.0,0.35,0.63,14,21,0.09714007334544406
55,mse,18.0,0.28,0.86,371,89,0.09582287806891795
56,mae,30.0,0.95,0.78,730,13,0.09579773393703392
57,mse,89.0,0.75,0.47,202,81,0.0957272295246972
58,mae,72.0,0.15,0.48,681,90,0.0950736231933077
59,mse,38.0,0.68,0.73,605,34,0.09706838053662736
60,mse,18.0,0.92,0.41,690,39,0.09545502259858986
61,mse,3.0,0.83,0.67,668,45,0.0960193097592244
62,mse,15.0,0.83,0.7,1,40,0.09470893701221027
63,mae,17.0,0.51,0.79,803,14,0.09686928495362605
64,mse,66.0,0.77,0.45,79,50,0.09616747568988722
65,mse,97.0,0.75,0.76,209,46,0.09695451800843242
66,mae,20.0,0.2,0.76,840,11,0.0965592956696484
67,mae,86.0,0.43,0.24,1,29,0.09615988855997254
68,mae,25.0,0.63,0.57,752,27,0.09738785496136157
69,mse,27.0,0.28,0.77,316,56,0.09660324354841221
70,mae,99.0,0.41,0.29,885,31,0.09590074648998738
71,mae,80.0,0.8,0.43,426,84,0.09713401179084434
72,mse,10.0,0.18,0.51,766,96,0.09551411683142626
73,mse,36.0,0.15,0.86,802,95,0.09560705908905599
74,mae,54.0,0.82,0.94,680,22,0.09636417662638364
75,mae,5.0,0.16,0.73,273,43,0.0964882387057794
76,mae,94.0,0.13,0.25,205,46,0.09515731693353295
77,mae,87.0,0.38,0.82,110,96,0.09757734499287182
78,mse,10.0,0.79,0.67,575,92,0.09622906121795355
79,mae,51.0,0.51,0.64,339,33,0.09677984977192855
80,mse,38.0,0.4,0.97,612,97,0.0954930628705154
81,mse,33.0,0.56,0.2,872,78,0.09740755346696411
