,criterion,splitter,max_depth,max_features,rsme
0,mse,best,6.0,0.76,0.09780058694432679
1,friedman_mse,random,8.0,0.65,0.0960127494914306
2,friedman_mse,random,3.0,0.32,0.09578719936549292
3,friedman_mse,best,3.0,0.59,0.0966913092208127
4,mae,random,,0.84,0.10412211047778672
5,mae,best,,0.2,0.09803355695100784
6,mae,random,2.0,0.54,0.09743794673020383
7,mse,best,,0.9,0.11395129972613068
8,friedman_mse,random,3.0,0.76,0.09495885305399085
9,friedman_mse,random,6.0,0.83,0.09888785493877028
10,friedman_mse,random,2.0,0.5,0.0968779649769455
11,mse,best,,0.86,0.10600547202578423
12,mae,best,1.0,0.17,0.09907205147158525
13,mse,random,3.0,0.29,0.09705610778043641
14,friedman_mse,random,6.0,0.2,0.0944852060166347
15,mse,random,1.0,0.68,0.09505536289919447
16,friedman_mse,best,1.0,0.88,0.0970865464672658
17,mae,best,9.0,0.34,0.10236261898984543
18,mae,random,9.0,0.1,0.0961673393192702
19,mae,random,1.0,0.57,0.09685239853727043
20,mae,best,,0.14,0.09889030583734222
21,mae,best,1.0,0.89,0.09858436170042739
22,mae,best,,0.53,0.10256577261545315
23,friedman_mse,random,6.0,0.29,0.09650385060709836
24,mae,best,5.0,0.35,0.0984596284441545
25,friedman_mse,random,1.0,0.14,0.09560566042982703
26,friedman_mse,best,2.0,0.51,0.0972119647905591
27,friedman_mse,random,5.0,0.43,0.09740218798134596
28,friedman_mse,best,,0.49,0.10188633908067093
29,friedman_mse,best,,0.57,0.0964291252683044
30,mse,best,9.0,0.74,0.11070280490249931
31,mae,random,8.0,0.69,0.09896706954408492
32,friedman_mse,random,6.0,0.95,0.10730801701655122
33,friedman_mse,random,3.0,0.57,0.09566461992007373
34,friedman_mse,random,2.0,0.28,0.0951966807763892
35,mse,random,6.0,0.2,0.09478663630641188
36,mae,best,8.0,0.69,0.10351489171337605
37,mae,best,8.0,0.46,0.10225959011796192
38,friedman_mse,best,3.0,0.44,0.10082887189266132
39,friedman_mse,best,3.0,0.6,0.09886498355875484
40,mae,best,,0.57,0.22125458159557615
41,friedman_mse,best,9.0,0.53,0.10313784922648113
42,mae,best,6.0,0.56,0.09676761269982147
43,mae,best,9.0,0.64,0.13967884153491572
44,friedman_mse,best,9.0,0.63,0.10236882407263889
45,mae,random,4.0,0.92,0.09483737155879964
46,mse,best,1.0,0.33,0.09647443103300717
47,mae,random,5.0,0.31,0.09719900259916824
48,mae,best,9.0,0.22,0.0979796286855058
49,mae,best,,0.18,0.2425436738476862
50,mse,best,8.0,0.65,0.1024977752459214
51,friedman_mse,best,8.0,0.56,0.11360139281049711
52,mse,best,3.0,0.31,0.09712736770859316
53,friedman_mse,best,4.0,0.24,0.09553409139210157
54,mse,random,8.0,0.25,0.09600349868345172
55,friedman_mse,best,5.0,0.95,0.11227580412942818
